source_id,source_type,category,priority,title,description,technical_details,component,is_duplicate,duplicate_of,quality_score,confidence
R001,app_review,Bug,Critical,App Crash on Settings Page,Source: app_review. Original feedback: App crashes every time I try to open the settings page. Started after the latest update. Using Pixel 7 on Android 14. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""App crashes every time I try to open the settings page. Started after the latest update. Using Pixel 7 on Android 14."", ""device"": ""pixel 7"", ""os"": ""android 14"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Settings"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Settings,True,E001,0.98,0.94
R003,app_review,Bug,High,Login Authentication Failure After Update,Source: app_review. Original feedback: Can't login since the last update. I've tried resetting my password three times but still get 'Authentication Failed' error. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""1. Open the login screen. 2. Enter credentials. 3. Submit the form. 4. Observe the authentication failure."", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.1"", ""severity"": ""High"", ""component"": ""Authentication"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Recent auth token validation changes may be rejecting valid sessions.""}",Authentication,True,E002,0.98,0.94
R004,app_review,Feature Request,Medium,Feature Request: Dark Mode Support,Source: app_review. Original feedback: Great app overall but would love to see a dark mode option. My eyes hurt using it at night. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add dark mode support"", ""user_benefit"": ""Improves usability in low-light settings and reduces eye strain."", ""impact_score"": 7, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""8.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add dark mode support,True,E003,0.9,0.93
R005,app_review,Bug,Critical,Data Sync Broken Between Devices,Source: app_review. Original feedback: Data sync is completely broken. My tasks on phone don't match what's on the web. Lost 2 hours of work! This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Sync"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Background sync queue or conflict resolution may be failing.""}",Sync,True,E004,0.98,0.91
R007,app_review,Feature Request,Medium,Feature Request: Calendar Integration,Source: app_review. Original feedback: Please add calendar integration with Google Calendar. I have to manually copy events which is frustrating. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add calendar integration"", ""user_benefit"": ""Helps users manage tasks alongside existing schedules."", ""impact_score"": 7, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""4.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add calendar integration,True,E005,0.9,0.93
R008,app_review,Bug,High,Dashboard Performance Degradation,"Source: app_review. Original feedback: App is extremely slow since version 3.2. Takes 10+ seconds to load the dashboard. iPhone 14 Pro, iOS 17.3. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""not provided"", ""device"": ""iphone 14 pro"", ""os"": ""ios 17.3"", ""app_version"": ""3.2.0"", ""severity"": ""High"", ""component"": ""Dashboard"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Dashboard query or rendering path may be regressing with larger datasets.""}",Dashboard,True,E006,0.98,0.91
R009,app_review,Feature Request,Low,Feature Request: Recurring Task Templates,Source: app_review. Original feedback: Would be great to have recurring task templates. I create the same tasks every Monday and it's tedious. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add recurring task templates"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 6, ""user_segment"": ""power_users"", ""already_planned"": ""false"", ""planned_version"": ""none"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Low""}",Add recurring task templates,True,R024,0.9,0.93
R010,app_review,Bug,Critical,Bug: Feedback Review Needed,Source: app_review. Original feedback: The app logged me out and lost all my local data. This is unacceptable for a productivity app! This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.0"", ""severity"": ""Critical"", ""component"": ""General"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",General,True,E007,0.98,0.94
R012,app_review,Bug,High,Push Notifications Completely Non-Functional,Source: app_review. Original feedback: Push notifications stopped working completely. I missed 3 important deadlines because of this bug. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.0"", ""severity"": ""High"", ""component"": ""Notifications"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Notification registration or badge count refresh may be out of sync.""}",Notifications,True,E008,0.98,0.91
R013,app_review,Feature Request,Medium,Feature Request: Offline Mode,Source: app_review. Original feedback: The app is okay but really needs offline mode. I travel frequently and can't always rely on internet. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add offline mode"", ""user_benefit"": ""Allows uninterrupted productivity without connectivity."", ""impact_score"": 7, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""8.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add offline mode,True,TICKET:R013,0.9,0.93
R014,app_review,Complaint,Medium,Complaint: Pricing Too Expensive,Source: app_review. Original feedback: Too expensive for what it offers. $9.99/month when competitors charge half that. Considering switching. This complaint should be reviewed for customer experience follow-up.,N/A,Customer Experience,True,E009,0.9,0.82
R015,app_review,Bug,High,App Freeze or Crash on Large File Attachment,"Source: app_review. Original feedback: App freezes when attaching files larger than 5MB. Tried with PDF and images. Samsung Galaxy S24, Android 14. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""not provided"", ""device"": ""samsung galaxy s24"", ""os"": ""android 14"", ""app_version"": ""3.2.1"", ""severity"": ""High"", ""component"": ""Attachments"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Attachments,True,E010,0.98,0.91
R016,app_review,Feature Request,Medium,Feature Request: Slack Integration,Source: app_review. Original feedback: Love the app! Would be amazing if you could add Slack integration for task notifications. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add Slack integration"", ""user_benefit"": ""Improves team coordination and task visibility."", ""impact_score"": 6, ""user_segment"": ""teams"", ""already_planned"": ""true"", ""planned_version"": ""4.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add Slack integration,True,E011,0.9,0.93
R018,app_review,Bug,High,Search Function Returning Incorrect Results,Source: app_review. Original feedback: Search function returns completely wrong results. Searched for 'budget' and got tasks about 'meetings'. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.0"", ""severity"": ""High"", ""component"": ""Search"", ""known_bug_match"": ""none"", ""root_cause_hint"": ""unknown""}",Search,True,E012,0.98,0.91
R019,app_review,Feature Request,Medium,Feature Request: Subtask Support,Source: app_review. Original feedback: Missing functionality for subtasks. Would be very helpful to break down larger tasks into smaller steps. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add subtask support"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 7, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""3.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add subtask support,True,E018,0.9,0.93
R020,app_review,Complaint,High,Complaint: Poor Customer Support Response Time,Source: app_review. Original feedback: Customer service is terrible. Submitted a bug report 2 weeks ago and still no response. Very disappointed. This complaint should be reviewed for customer experience follow-up.,N/A,Customer Experience,True,E019,0.9,0.82
R024,app_review,Feature Request,Medium,Feature Request: PDF Export,Source: app_review. Original feedback: Please add the ability to export tasks to PDF. Need this for my weekly reports to management. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add PDF export"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 6, ""user_segment"": ""power_users"", ""already_planned"": ""true"", ""planned_version"": ""5.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add PDF export,True,E017,0.9,0.93
R025,app_review,Bug,Critical,App Crash on Startup After Update,"Source: app_review. Original feedback: App crashes on startup after updating to v3.2.1. Have to reinstall every time. OnePlus 12, Android 14. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""App crashes on startup after updating to v3.2.1. Have to reinstall every time. OnePlus 12, Android 14."", ""device"": ""oneplus 12"", ""os"": ""android 14"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Startup"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Startup,True,E016,0.98,0.94
R027,app_review,Bug,High,Push Notifications Completely Non-Functional,Source: app_review. Original feedback: Notification badges show wrong count. Shows 5 unread but I only have 1. Very confusing and annoying. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.1"", ""severity"": ""High"", ""component"": ""Notifications"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Notification registration or badge count refresh may be out of sync.""}",Notifications,True,E015,0.98,0.91
R028,app_review,Feature Request,Low,Feature Request: Product Improvement,Source: app_review. Original feedback: Would love to see Siri shortcuts integration for quick task creation. That would be a killer feature! This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add Siri shortcuts integration"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 6, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""5.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Low""}",Add Siri shortcuts integration,True,TICKET:R028,0.9,0.93
R029,app_review,Feature Request,Medium,Feature Request: Advanced Sorting Options,"Source: app_review. Original feedback: The app needs better sorting options. Can only sort by date, but I need to sort by priority and project. This request should be evaluated for roadmap fit and user demand.","{""feature_summary"": ""Add advanced sorting and filtering"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 6, ""user_segment"": ""power_users"", ""already_planned"": ""true"", ""planned_version"": ""5.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add advanced sorting and filtering,True,E020,0.9,0.93
R030,app_review,Bug,High,Accessibility Issues - VoiceOver Support,Source: app_review. Original feedback: Poor accessibility support. VoiceOver reads buttons incorrectly and some elements are not labelled. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.0"", ""severity"": ""High"", ""component"": ""Accessibility"", ""known_bug_match"": ""BUG-103"", ""root_cause_hint"": ""UI components appear to be missing accessibility labels and semantic grouping.""}",Accessibility,True,E013,0.98,0.91
E001,support_email,Bug,Critical,App Crash on Settings Page,"Source: support_email. Original feedback: Hi Support, My app crashes every time I open Settings > Account. Device: Google Pixel 7, OS: Android 14, App Version: 3.2.1. Steps to reproduce: 1) Open app, 2) Tap Settings gear icon, 3) Tap Account, 4) App immediately crashes. This happens 100% of the time. I've cleared cache and reinstalled. Please fix ASAP. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""App Crash Report - Settings Page Hi Support, My app crashes every time I open Settings > Account. Device: Google Pixel 7, OS: Android 14, App Version: 3.2.1. Steps to reproduce: 1) Open app, 2) Tap Settings gear icon, 3) Tap Account, 4) App immediately crashes. This happens 100% of the time. I've cleared cache and reinstalled. Please fix ASAP."", ""device"": ""pixel 7"", ""os"": ""android 14"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Settings"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Settings,True,R001,0.98,0.94
E002,support_email,Bug,Critical,Login Authentication Failure After Update,"Source: support_email. Original feedback: Hello, Since updating to version 3.2.1, I can no longer log into my account. I get an 'Authentication Failed' error even though my password is correct. I've tried: 1) Password reset, 2) Clearing app data, 3) Reinstalling app. None of these worked. I'm locked out of months of project data. Please help urgently. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""Login Issue After Update Hello, Since updating to version 3.2.1, I can no longer log into my account. I get an 'Authentication Failed' error even though my password is correct. I've tried: 1) Password reset, 2) Clearing app data, 3) Reinstalling app. None of these worked. I'm locked out of months of project data. Please help urgently."", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Authentication"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Recent auth token validation changes may be rejecting valid sessions.""}",Authentication,True,R003,0.98,0.94
E003,support_email,Feature Request,Medium,Feature Request: Dark Mode Support,"Source: support_email. Original feedback: Hi there, I love using your app for managing my daily tasks, but I often work late at night and the bright white interface is quite straining on my eyes. Would it be possible to add a dark mode option? Many apps in the productivity space already offer this. It would be a great quality of life improvement. Thanks for considering! This request should be evaluated for roadmap fit and user demand.","{""feature_summary"": ""Add dark mode support"", ""user_benefit"": ""Improves usability in low-light settings and reduces eye strain."", ""impact_score"": 8, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""3.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add dark mode support,True,R004,0.9,0.93
E004,support_email,Bug,High,Data Sync Broken Between Devices,"Source: support_email. Original feedback: Dear Support Team, I'm experiencing a critical issue with data synchronization. Tasks I create on my phone (Samsung Galaxy S24) do not appear on the web version, and vice versa. This started approximately 3 days ago. I've verified I'm logged into the same account on both devices. My subscription is active (Premium plan). This is severely impacting my workflow as I rely on cross-device sync for work. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""not provided"", ""device"": ""samsung galaxy s24"", ""os"": ""unknown"", ""app_version"": ""unknown"", ""severity"": ""High"", ""component"": ""Sync"", ""known_bug_match"": ""none"", ""root_cause_hint"": ""Background sync queue or conflict resolution may be failing.""}",Sync,True,R005,0.98,0.91
E005,support_email,Feature Request,Medium,Feature Request: Calendar Integration,"Source: support_email. Original feedback: Hello Team, I'd like to suggest adding Google Calendar and Outlook calendar integration. Currently, I have to manually check my calendar and then create tasks in your app, which is very time-consuming. Being able to see my calendar events alongside my tasks would make this app a true all-in-one productivity solution. Happy to discuss further if helpful. This request should be evaluated for roadmap fit and user demand.","{""feature_summary"": ""Add calendar integration"", ""user_benefit"": ""Helps users manage tasks alongside existing schedules."", ""impact_score"": 7, ""user_segment"": ""teams"", ""already_planned"": ""true"", ""planned_version"": ""4.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add calendar integration,True,R007,0.9,0.93
E006,support_email,Bug,High,Dashboard Performance Degradation,"Source: support_email. Original feedback: Hi, My dashboard has been extremely slow to load since I updated to version 3.2. It takes 10-15 seconds to fully render. Device: iPhone 14 Pro, iOS 17.3. My internet connection is fine (100Mbps). Other apps load normally. I have about 150 active tasks and 20 projects. The app was fast before this update. Is there a performance issue with the new version? This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""not provided"", ""device"": ""iphone 14 pro"", ""os"": ""ios 17.3"", ""app_version"": ""unknown"", ""severity"": ""High"", ""component"": ""Dashboard"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Dashboard query or rendering path may be regressing with larger datasets.""}",Dashboard,True,R008,0.98,0.91
E007,support_email,Bug,Critical,Data Sync Broken Between Devices,"Source: support_email. Original feedback: URGENT! The app randomly logged me out this morning and when I logged back in, all my locally stored tasks, notes, and attachments are GONE. I had over 50 tasks that weren't synced to the cloud because I was in offline mode. This represents weeks of work planning. Device: iPad Air 5th gen, iPadOS 17.3. I need this data recovered immediately. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""Lost All Local Data After Logout URGENT! The app randomly logged me out this morning and when I logged back in, all my locally stored tasks, notes, and attachments are GONE. I had over 50 tasks that weren't synced to the cloud because I was in offline mode. This represents weeks of work planning. Device: iPad Air 5th gen, iPadOS 17.3. I need this data recovered immediately."", ""device"": ""ipad air 5th gen"", ""os"": ""ipados 17.3"", ""app_version"": ""unknown"", ""severity"": ""Critical"", ""component"": ""Sync"", ""known_bug_match"": ""none"", ""root_cause_hint"": ""Background sync queue or conflict resolution may be failing.""}",Sync,True,R010,0.98,0.94
E008,support_email,Bug,High,Push Notifications Completely Non-Functional,"Source: support_email. Original feedback: Hello Support, I'm writing to report that push notifications have completely stopped working on my device since about a week ago. I've checked all notification settings both in the app and in iOS Settings - everything is enabled. Device: iPhone 15, iOS 17.4, App Version: 3.2.0. I missed several important task deadlines because of this. Please investigate. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""not provided"", ""device"": ""iphone 15"", ""os"": ""ios 17.4"", ""app_version"": ""3.2.0"", ""severity"": ""High"", ""component"": ""Settings"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Settings,True,R012,0.98,0.91
E009,support_email,Complaint,Low,Complaint: Pricing Too Expensive,"Source: support_email. Original feedback: Hi, I wanted to provide some honest feedback about your pricing. $9.99/month is quite steep compared to alternatives like Todoist ($4/month) and TickTick ($2.79/month) which offer similar features. I really like your app's interface but I'm considering switching purely for cost reasons. Have you considered offering a more affordable tier? This complaint should be reviewed for customer experience follow-up.",N/A,Customer Experience,True,R014,0.9,0.6
E010,support_email,Bug,Critical,App Freeze or Crash on Large File Attachment,"Source: support_email. Original feedback: Hi team, I found a bug with file attachments. When I try to attach any file larger than approximately 5MB, the app freezes and eventually crashes. Tested with: 1) 6MB PDF - crash, 2) 8MB PNG image - crash, 3) 4MB PDF - works fine. Device: Samsung Galaxy S24, Android 14, App Version: 3.2.1. Logs attached if needed. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""File Attachment Bug Hi team, I found a bug with file attachments. When I try to attach any file larger than approximately 5MB, the app freezes and eventually crashes. Tested with: 1) 6MB PDF - crash, 2) 8MB PNG image - crash, 3) 4MB PDF - works fine. Device: Samsung Galaxy S24, Android 14, App Version: 3.2.1. Logs attached if needed."", ""device"": ""samsung galaxy s24"", ""os"": ""android 14"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Attachments"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Attachments,True,R015,0.98,0.94
E011,support_email,Feature Request,Medium,Feature Request: Slack Integration,"Source: support_email. Original feedback: Dear Product Team, Our company uses both your app and Slack extensively. It would be incredibly useful to have a Slack integration that: 1) Sends task notifications to Slack channels, 2) Allows creating tasks from Slack messages, 3) Updates task status from Slack. This would save our team of 15 people significant time each day. Happy to be a beta tester! This request should be evaluated for roadmap fit and user demand.","{""feature_summary"": ""Add Slack integration"", ""user_benefit"": ""Improves team coordination and task visibility."", ""impact_score"": 6, ""user_segment"": ""teams"", ""already_planned"": ""true"", ""planned_version"": ""4.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add Slack integration,True,R016,0.9,0.93
E012,support_email,Bug,High,Search Function Returning Incorrect Results,"Source: support_email. Original feedback: Hello, The search function in the app is severely broken. When I search for 'budget', it returns tasks about 'meetings' and 'team lunch'. When I search for 'Q1 report', it returns random old tasks from months ago. This makes finding specific tasks nearly impossible. App Version: 3.2.0, Device: iPhone 14, iOS 17.3. Please fix the search algorithm. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""Search Function Returning Wrong Results Hello, The search function in the app is severely broken. When I search for 'budget', it returns tasks about 'meetings' and 'team lunch'. When I search for 'Q1 report', it returns random old tasks from months ago. This makes finding specific tasks nearly impossible. App Version: 3.2.0, Device: iPhone 14, iOS 17.3. Please fix the search algorithm."", ""device"": ""iphone 14"", ""os"": ""ios 17.3"", ""app_version"": ""3.2.0"", ""severity"": ""High"", ""component"": ""Search"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Search,True,R018,0.98,0.91
E013,support_email,Bug,High,Accessibility Issues - VoiceOver Support,"Source: support_email. Original feedback: Dear Accessibility Team, I'm a visually impaired user who relies on VoiceOver to use your app. I've encountered several accessibility issues: 1) Add Task button is not labelled - VoiceOver reads 'button' only, 2) Priority dropdown selections are not announced, 3) Task completion toggle has no accessible name, 4) Some screens have no heading structure. These issues make the app very difficult to use with assistive technology. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""unknown"", ""severity"": ""High"", ""component"": ""Accessibility"", ""known_bug_match"": ""BUG-103"", ""root_cause_hint"": ""UI components appear to be missing accessibility labels and semantic grouping.""}",Accessibility,True,R030,0.98,0.91
E014,support_email,Complaint,Low,Complaint: User Experience Issue,Source: support_email. Original feedback: Just wanted to say your app is amazing! I've been using it for 6 months and it's completely transformed how I manage my projects. The team collaboration features are outstanding and the UI is beautiful. Keep up the great work! Will definitely recommend to colleagues. This complaint should be reviewed for customer experience follow-up.,N/A,Customer Experience,True,R017,0.9,0.6
E015,support_email,Bug,High,Push Notifications Completely Non-Functional,"Source: support_email. Original feedback: Hi, The notification badge on the app icon consistently shows the wrong number. It says I have 5 unread notifications but when I open the app, there's only 1 (or sometimes none). This has been happening for about 2 weeks. Device: Google Pixel 8, Android 14, App Version: 3.2.1. It's minor but quite confusing. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""Notification Badge Count Wrong Hi, The notification badge on the app icon consistently shows the wrong number. It says I have 5 unread notifications but when I open the app, there's only 1 (or sometimes none). This has been happening for about 2 weeks. Device: Google Pixel 8, Android 14, App Version: 3.2.1. It's minor but quite confusing."", ""device"": ""pixel 8"", ""os"": ""android 14"", ""app_version"": ""3.2.1"", ""severity"": ""High"", ""component"": ""Notifications"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Notification registration or badge count refresh may be out of sync.""}",Notifications,True,R027,0.98,0.91
E016,support_email,Bug,Critical,App Crash on Startup After Update,"Source: support_email. Original feedback: My app crashes immediately on startup after updating to version 3.2.1. I can see the splash screen for about 1 second then it closes. I've tried: reinstalling the app (3 times), clearing all data, restarting my phone. Device: OnePlus 12, Android 14. The previous version (3.2.0) worked fine. I need a fix or rollback option please. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""App Crashes on Startup v3.2.1 My app crashes immediately on startup after updating to version 3.2.1. I can see the splash screen for about 1 second then it closes. I've tried: reinstalling the app (3 times), clearing all data, restarting my phone. Device: OnePlus 12, Android 14. The previous version (3.2.0) worked fine. I need a fix or rollback option please."", ""device"": ""oneplus 12"", ""os"": ""android 14"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Startup"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Startup,True,R025,0.98,0.94
E017,support_email,Feature Request,Medium,Feature Request: PDF Export,"Source: support_email. Original feedback: Hi Product Team, I need the ability to export my task lists and project summaries as PDF documents. My manager requires weekly progress reports and I currently have to manually copy everything into Word. A built-in PDF export with formatting options (include/exclude completed tasks, date ranges, project filters) would save me at least 30 minutes every Friday. This request should be evaluated for roadmap fit and user demand.","{""feature_summary"": ""Add PDF export"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 6, ""user_segment"": ""teams"", ""already_planned"": ""true"", ""planned_version"": ""5.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add PDF export,True,R024,0.9,0.93
E018,support_email,Feature Request,Medium,Feature Request: Subtask Support,"Source: support_email. Original feedback: Hello, I'd really like to see subtask support added to the app. For example, a task like 'Prepare presentation' could have subtasks: 1) Research topic, 2) Create slides, 3) Practice delivery. Currently, I create separate tasks but lose the hierarchical relationship. This is a common feature in project management tools and would greatly improve organization. This request should be evaluated for roadmap fit and user demand.","{""feature_summary"": ""Add subtask support"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 7, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""3.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add subtask support,True,R019,0.9,0.93
E019,support_email,Bug,Critical,Bug: Feedback Review Needed,"Source: support_email. Original feedback: I submitted a bug report about data loss TWO WEEKS AGO (ticket #4521) and have received ZERO response. Not even an acknowledgment email. This is completely unacceptable for a paid service. I pay $9.99/month and expect at minimum a timely response. If this is how you treat paying customers, I will be cancelling my subscription and leaving a negative review everywhere. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""unknown"", ""severity"": ""Critical"", ""component"": ""General"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",General,True,R020,0.98,0.94
E020,support_email,Feature Request,Medium,Feature Request: Advanced Sorting Options,"Source: support_email. Original feedback: Dear Team, The current sorting options in the app are very limited - only by date. I need to be able to: 1) Sort by priority, 2) Sort by project, 3) Filter by assignee, 4) Filter by tag, 5) Save custom filter views. These are basic project management features that are missing. My team of 8 people would benefit greatly from better organization tools. This request should be evaluated for roadmap fit and user demand.","{""feature_summary"": ""Add advanced sorting and filtering"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 6, ""user_segment"": ""teams"", ""already_planned"": ""true"", ""planned_version"": ""5.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add advanced sorting and filtering,True,R029,0.9,0.93
